#SPTOOL_AQMCMAQ,,,,
2416,EOH,2.99E-02,4.61E+01,2.99E-02
2416,ETEG,4.20E-03,6.21E+01,4.20E-03
2416,HC10,2.85E-01,1.42E+02,2.85E-01
2416,KET,7.46E-02,8.60E+01,7.46E-02
2416,MEK,5.97E-02,7.21E+01,5.97E-02
2416,ROCIOXY,2.30E-02,2.47E+02,2.30E-02
2416,ROH,9.05E-02,6.00E+01,9.05E-02
2416,TOL,2.54E-01,9.21E+01,2.54E-01
2416,XYE,5.97E-02,1.06E+02,5.97E-02
2416,XYM,1.19E-01,1.06E+02,1.19E-01
2422,HC10,6.54E-01,1.42E+02,6.54E-01
2422,SLOWROC,3.46E-01,7.54E+01,3.46E-01
2552,BEN,2.60E-02,7.81E+01,2.60E-02
2552,HC10,5.36E-01,1.42E+02,5.36E-01
2552,HC5,1.02E-02,7.21E+01,1.02E-02
2552,ROH,1.28E-01,6.00E+01,1.28E-01
2552,TOL,3.55E-02,9.21E+01,3.55E-02
2552,XYE,2.08E-01,1.06E+02,2.08E-01
2552,XYM,5.68E-02,1.06E+02,5.68E-02
3131,ACT,3.28E-01,5.80E+01,3.28E-01
3131,HC10,7.31E-02,1.42E+02,7.31E-02
3131,HC3,3.23E-01,4.41E+01,3.23E-01
3131,KET,1.70E-03,8.60E+01,1.70E-03
3131,MEK,6.10E-03,7.21E+01,6.10E-03
3131,ROH,1.94E-02,6.00E+01,1.94E-02
3131,TOL,9.87E-02,9.21E+01,9.87E-02
3131,XYE,1.89E-02,1.06E+02,1.89E-02
3131,XYM,1.31E-01,1.06E+02,1.31E-01
3135,ACT,6.59E-02,5.80E+01,6.59E-02
3135,ETEG,1.30E-03,6.21E+01,1.30E-03
3135,HC10,2.41E-01,1.42E+02,2.41E-01
3135,HC3,4.07E-01,4.41E+01,4.07E-01
3135,HC5,3.00E-02,7.21E+01,3.00E-02
3135,MEK,1.20E-03,7.21E+01,1.20E-03
3135,MOH,1.80E-03,3.20E+01,1.80E-03
3135,ROCIOXY,4.50E-03,2.47E+02,4.50E-03
3135,ROH,9.70E-03,6.00E+01,9.70E-03
3135,TOL,9.25E-02,9.21E+01,9.25E-02
3135,XYE,1.07E-02,1.06E+02,1.07E-02
3135,XYM,1.34E-01,1.06E+02,1.34E-01
3138,ACT,3.49E-01,5.80E+01,3.49E-01
3138,EOH,4.62E-02,4.61E+01,4.62E-02
3138,HC10,1.48E-01,1.42E+02,1.48E-01
3138,HC3,2.75E-01,4.41E+01,2.75E-01
3138,HC5,3.63E-02,7.21E+01,3.63E-02
3138,KET,8.00E-04,8.60E+01,8.00E-04
3138,MEK,1.21E-02,7.21E+01,1.21E-02
3138,MOH,1.10E-03,3.20E+01,1.10E-03
3138,OLT,1.50E-03,4.20E+01,1.50E-03
3138,ROCIOXY,1.43E-02,2.47E+02,1.43E-02
3138,ROH,3.67E-02,6.00E+01,3.67E-02
3138,SLOWROC,1.28E-02,7.54E+01,1.28E-02
3138,TOL,3.33E-02,9.21E+01,3.33E-02
3138,XYE,3.90E-03,1.06E+02,3.90E-03
3138,XYM,2.90E-02,1.06E+02,2.90E-02
3149,ACT,2.89E-01,5.80E+01,2.89E-01
3149,EOH,5.90E-03,4.61E+01,5.90E-03
3149,ETEG,1.00E-04,6.21E+01,1.00E-04
3149,HC10,1.10E-01,1.42E+02,1.10E-01
3149,HC3,3.06E-01,4.41E+01,3.06E-01
3149,HC5,9.10E-03,7.21E+01,9.10E-03
3149,HCHO,0.00E+00,3.00E+01,0.00E+00
3149,HKET,4.00E-04,7.40E+01,4.00E-04
3149,KET,7.60E-03,8.60E+01,7.60E-03
3149,MEK,2.08E-02,7.21E+01,2.08E-02
3149,MOH,3.00E-04,3.20E+01,3.00E-04
3149,NAPH,2.00E-04,1.28E+02,2.00E-04
3149,OLI,0.00E+00,7.01E+01,0.00E+00
3149,OLT,1.00E-04,4.20E+01,1.00E-04
